table,id,column,before,after
episode,92a59d46-523c-472f-a9fe-c440d5d74b7a,cover_path,r2://ppp-media/covers/episode/92a59d46-523c-472f-a9fe-c440d5d74b7a/7c357c3bc45ca8ff7fe573244c47f700.jpg,r2://ppp-media/covers/episode/92a59d46-523c-472f-a9fe-c440d5d74b7a/7c357c3bc45ca8ff7fe573244c47f700.jpg
episode,d0b64bd1-e40b-48af-9287-a22e21734cfa,cover_path,r2://ppp-media/covers/episode/d0b64bd1-e40b-48af-9287-a22e21734cfa/adc91f7f95c06eef3eac5c40d14f2975.jpg,r2://ppp-media/covers/episode/d0b64bd1-e40b-48af-9287-a22e21734cfa/adc91f7f95c06eef3eac5c40d14f2975.jpg
episode,172b1973-859e-4e94-8e25-73eec74a4a40,cover_path,r2://ppp-media/covers/episode/172b1973-859e-4e94-8e25-73eec74a4a40/5a6722f14c189193c4504328b0cce3fd.jpg,r2://ppp-media/covers/episode/172b1973-859e-4e94-8e25-73eec74a4a40/5a6722f14c189193c4504328b0cce3fd.jpg
episode,d011c285-a38e-49f1-a44a-3865e4ced3b6,cover_path,r2://ppp-media/covers/episode/d011c285-a38e-49f1-a44a-3865e4ced3b6/d98bfed8df9c77d12c4d628fb7d065e8.jpg,r2://ppp-media/covers/episode/d011c285-a38e-49f1-a44a-3865e4ced3b6/d98bfed8df9c77d12c4d628fb7d065e8.jpg
episode,56fa6ab1-af43-4279-a6fb-3847845c4cd7,cover_path,r2://ppp-media/covers/episode/56fa6ab1-af43-4279-a6fb-3847845c4cd7/ea71e3b8471d65188d3518cd3c95e6a6.jpg,r2://ppp-media/covers/episode/56fa6ab1-af43-4279-a6fb-3847845c4cd7/ea71e3b8471d65188d3518cd3c95e6a6.jpg
episode,ef83b9be-306d-4bcd-acbf-427200cf5206,cover_path,r2://ppp-media/covers/episode/ef83b9be-306d-4bcd-acbf-427200cf5206/74ab247a09492ad00458126b4acd744c.jpg,r2://ppp-media/covers/episode/ef83b9be-306d-4bcd-acbf-427200cf5206/74ab247a09492ad00458126b4acd744c.jpg
episode,5f6c761e-0cbe-450b-a4bf-e6e7623e898d,cover_path,r2://ppp-media/covers/episode/5f6c761e-0cbe-450b-a4bf-e6e7623e898d/2533e9b75b6cba28a40db9f00b1f16dc.jpg,r2://ppp-media/covers/episode/5f6c761e-0cbe-450b-a4bf-e6e7623e898d/2533e9b75b6cba28a40db9f00b1f16dc.jpg
episode,e8bf9892-e3a9-4978-aec3-aebfac1ff158,cover_path,r2://ppp-media/covers/episode/e8bf9892-e3a9-4978-aec3-aebfac1ff158/a498c3d30f4adb17bcb5f8abf6ba3d9a.jpg,r2://ppp-media/covers/episode/e8bf9892-e3a9-4978-aec3-aebfac1ff158/a498c3d30f4adb17bcb5f8abf6ba3d9a.jpg
episode,7c15e590-7c46-4515-9670-4dcdfd6f5436,cover_path,r2://ppp-media/covers/episode/7c15e590-7c46-4515-9670-4dcdfd6f5436/092478d153731f482e94271102662504.jpg,r2://ppp-media/covers/episode/7c15e590-7c46-4515-9670-4dcdfd6f5436/092478d153731f482e94271102662504.jpg
episode,bc4a7cb0-404e-40da-95e2-34482ddeac69,cover_path,r2://ppp-media/covers/episode/bc4a7cb0-404e-40da-95e2-34482ddeac69/dfd018c5d4d17aadfc39926a9d43e2b2.jpg,r2://ppp-media/covers/episode/bc4a7cb0-404e-40da-95e2-34482ddeac69/dfd018c5d4d17aadfc39926a9d43e2b2.jpg
